date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-06-14,21.76,21.94,21.68,21.56,15457.0,-0.07,-0.32,21.894,21.997,22.586,17098.1,24382.83,35231.77
2018-06-13,22.0,22.14,21.76,21.74,15149.0,-0.32,-1.45,22.024,22.037,22.687,20505.85,25793.33,36796.97
2018-06-12,21.94,22.15,22.08,21.77,16061.0,0.14,0.64,22.208,22.03,22.81,30120.82,30269.81,39196.25
2018-06-11,22.01,22.16,21.95,21.81,15324.49,-0.06,-0.27,22.198,22.114,22.942,30760.06,31866.32,45781.87
2018-06-08,22.16,22.16,22.0,21.81,23499.0,-0.32,-1.43,22.154,22.229,23.08,31322.16,36495.5,50098.45
2018-06-07,22.88,22.88,22.33,22.23,32495.78,-0.29,-1.28,22.1,22.406,23.16,31667.56,45713.75,50083.74
2018-06-06,23.1,23.23,22.68,22.48,63223.83,0.65,2.95,22.05,22.501,23.232,31080.8,44615.07,49943.7
2018-06-05,21.73,22.05,22.03,21.69,19257.19,0.3,1.38,21.852,22.567,23.284,30418.8,40928.37,48503.45
2018-06-04,21.82,22.07,21.73,21.53,18135.0,0.0,0.0,22.03,22.746,23.38,32972.58,42212.66,50242.23
2018-06-01,22.12,22.12,21.73,21.61,25226.0,-0.33,-1.5,22.304,22.968,23.471,41668.83,44725.76,51484.17
2018-05-31,21.88,22.25,22.08,21.8,29562.0,0.4,1.84,22.712,23.174,23.558,59759.93,46080.7,51877.96
2018-05-30,22.48,22.68,21.69,21.66,59913.8,-1.22,-5.33,22.952,23.337,23.64,58149.33,47800.62,52569.85
2018-05-29,23.04,23.24,22.92,22.82,32026.12,-0.17,-0.74,23.282,23.589,23.71,51437.94,48122.69,51903.48
2018-05-28,23.32,23.63,23.1,23.01,61616.24,-0.65,-2.74,23.462,23.769,23.763,51452.74,59697.42,52007.91
2018-05-25,24.21,25.0,23.77,23.72,115681.51,0.48,2.06,23.632,23.93,23.792,47782.69,63701.41,50834.62
2018-05-24,23.46,23.55,23.28,23.26,21509.0,-0.07,-0.3,23.636,23.914,23.8,32401.47,54453.74,47065.36
2018-05-23,23.63,23.7,23.34,23.32,26356.83,-0.35,-1.48,23.722,23.962,23.825,37451.9,55272.32,48358.47
2018-05-22,23.82,24.09,23.82,23.55,32100.1,-0.11,-0.46,23.896,24.0,23.818,44807.44,56078.54,49073.87
2018-05-21,23.99,24.19,23.95,23.71,43266.0,0.15,0.63,24.076,24.013,23.792,67942.1,58271.81,50561.21
2018-05-18,23.5,23.9,23.79,23.21,38775.43,0.08,0.34,24.228,23.974,23.809,79620.13,58242.57,50828.43
2018-05-17,24.01,24.3,23.71,23.69,46761.13,-0.51,-2.11,24.192,23.941,23.828,76506.01,57675.21,52611.47
2018-05-16,24.5,24.52,24.21,24.03,63134.55,-0.51,-2.06,24.202,23.943,23.86,73092.75,57339.08,53277.9
2018-05-15,25.49,25.6,24.72,24.49,147773.38,0.0,0.0,24.104,23.83,23.89,67349.64,55684.26,55653.07
2018-05-14,23.59,24.95,24.71,23.5,101656.17,1.09,4.62,23.95,23.757,23.949,48601.51,44318.4,52074.44
2018-05-11,23.91,23.91,23.61,23.44,23204.8,-0.16,-0.67,23.72,23.654,24.007,36865.01,37967.84,51474.99
2018-05-10,23.7,23.92,23.76,23.65,29694.83,0.04,0.17,23.69,23.685,24.162,38844.42,39676.99,60099.05
2018-05-09,23.72,23.92,23.72,23.67,34419.0,-0.22,-0.92,23.684,23.688,24.284,41585.42,41444.61,69127.78
2018-05-08,23.6,23.95,23.95,23.39,54032.76,0.38,1.61,23.556,23.635,24.455,44018.89,42069.2,76832.94
2018-05-07,23.5,23.65,23.56,23.1,42973.67,0.07,0.3,23.564,23.57,24.564,40035.29,42850.62,80910.98
2018-05-04,23.75,23.96,23.46,23.42,33101.83,-0.27,-1.14,23.588,23.644,24.678,39070.66,43414.29,87868.78
2018-05-03,23.15,23.78,23.73,23.15,43399.82,0.65,2.82,23.68,23.715,24.749,40509.55,47547.74,89774.87
2018-05-02,23.99,23.99,23.08,22.91,46586.35,-0.91,-3.79,23.692,23.777,24.81,41303.8,49216.73,90145.33
2018-04-27,23.62,24.04,23.99,23.6,34114.8,0.31,1.31,23.714,23.95,24.902,40119.51,55621.87,91660.85
2018-04-26,24.0,24.28,23.68,23.67,38150.5,-0.24,-1.0,23.576,24.141,24.939,45665.94,59830.49,93552.39
2018-04-25,23.74,24.07,23.92,23.48,40296.29,0.13,0.55,23.7,24.36,25.003,47757.92,64982.14,97900.53
2018-04-24,23.29,23.92,23.79,23.1,47371.07,0.6,2.59,23.75,24.638,25.011,54585.92,80521.11,100457.35
2018-04-23,23.65,23.65,23.19,22.85,40664.91,-0.11,-0.47,23.862,24.879,25.018,57129.65,96810.95,105831.35
2018-04-20,24.2,24.24,23.3,23.25,61846.92,-1.0,-4.12,24.186,25.274,25.187,71124.23,111596.68,109350.02
2018-04-19,24.05,24.35,24.3,23.94,48610.43,0.13,0.54,24.706,25.557,25.322,73995.03,118971.35,113087.73
2018-04-18,24.61,24.8,24.17,23.69,74436.27,-0.17,-0.7,25.02,25.711,25.437,82206.35,132323.27,117751.76
2018-04-17,24.72,25.05,24.35,24.24,60089.74,-0.46,-1.85,25.526,25.783,25.586,106456.3,132002.0,127638.81
2018-04-16,25.63,25.63,24.81,24.63,110637.79,-1.08,-4.17,25.896,25.843,25.628,136492.25,131073.93,134708.41
